"Reference","Qty","Value","DigiKey","AX","LCSC"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23,C24,C28,C29,C30,C31","26","1u","","27730",""
"C19,C20","2","10p","","27705",""
"C25","1","100u","490-9969-1-ND","",""
"C26,C27","2","100n","","27726",""
"D1","1","GLED","475-LGQ976.01-MGNI-35-1CT-ND","",""
"D2,D3,D4,D5,D6","5","SK6812MINI-E","","","C5149201"
"J1,J2,J3","3","HDMI_A","900-2086581001CT-ND","",""
"J4,J5,J6","3","USB_C_Receptacle_USB2.0_16P","2073-USB4105-GF-ACT-ND","",""
"J7,J8","2","USB_A_Stacked","732-2107-ND","",""
"R1,R2,R6,R7,R8,R13,R14,R15,R16,R19,R20,R21,R24,R25","14","10k","","201002",""
"R3,R4","2","47k","","",""
"R5,R9,R27,R28,R29,R30","6","100k","","201003",""
"R10,R12,R17,R18,R22,R23","6","5.1k","311-5.10KHRCT-ND","",""
"R11","1","470","","204700",""
"R26","1","12k","","141202",""
"SW1","1","SPST-NO","","","C780491"
"U1,U2,U3,U4,U5,U6,U7,U8,U9","9","TPD4E02B04DQA","296-43875-1-ND","",""
"U10","1","HD3SS215RTQR","296-42335-1-ND","",""
"U11","1","TLV75533PDBV","296-50411-1-ND","",""
"U12","1","STM32C031G6Ux","497-STM32C031G6U6-ND","",""
"U13,U15,U17,U18,U19,U20","6","USBLC6-2SC6","5399-USBLC6-2SC6CT-ND","",""
"U14","1","TS3USB221AQRSERQ1","296-27719-1-ND","",""
"U16","1","USB2514B_Bi","USB2514BT/M2CT-ND","",""
"X1","1","24MHz","SER3634CT-ND","",""
